tower,what_type_of_work_is_here,income_confidence,income_assessment,land_use,comment,area_size_sqkm,cdr_users,mfs_users,user_ratio,cdr_density,mfs_density,building_count,building_density,residential,income_cleaned,income_adjusted,voronoi
2020,Commercial,High,Wealthy / Very Wealthy,Commercial / Formal Residential,,0.0960751556,257,111,2.3153153153,0.0003738333,0.0008655419,167,1738.2225288731,True,wealthy,wealthy,0103000020E610000001000000060000003F01F8F115A4434075ECF0D8D54B1BC09BCD167802A44340777244AC704B1BC0E4879E77F1A34340491ECD13EF481BC0E3B7DA8655A44340742595379D481BC0A66814ED6DA4434005556D0A434A1BC03F01F8F115A4434075ECF0D8D54B1BC0
2056,Skilled manual labour,High,Wealthy,Entertainment / Hotel,Golf Course,0.4959155185,139,68,2.0441176471,0.0035677375,0.0072928753,14,28.2306148455,,wealthy,wealthy,0103000020E61000000100000007000000FD90E8C608A5434040F8048DA73B1BC0BB438A4905A54340F9B54E7B9D3B1BC01C9AACFAB1A4434058C180AE96391BC0F4D4B2B1E5A44340659ABD72D1361BC0778C918524A643400930020056321BC0604716A68CA5434095559439B1391BC0FD90E8C608A5434040F8048DA73B1BC0
2026,Skilled manual labour,High,Very Wealthy,Formal Residential,,240.3300048567,103,59,1.7457627119,2.333301018,4.0733899128,249,1.0360753754,True,wealthy,wealthy,0103000020E6100000010000000B000000731436EBB6A443400DAF9FBEB4FA1AC005F8BA9017A44340733572CA77F91AC0EDE3FEDB96A14340A84D803006D61AC0B3826AB8BBA14340020C0818EBD21AC0003B5F2B81A443407D374C6E1DB51AC06D439A1566AE434005A88FAAC65D1AC0E02F81AB15AF434008DCA99D25591AC0DACCA3EBB1BE43408EE8395A19A71AC03B7222B35AB943408D2554398FCE1AC0D719F6FA4AB5434095EF22B5E6E21AC0731436EBB6A443400DAF9FBEB4FA1AC0
2091,Unskilled manual labour,High,Average,Informal Peri-Urban ,,21.2133973502,1073,765,1.4026143791,0.0197701746,0.0277299312,2477,116.7658324174,,average,average,0103000020E61000000100000008000000A0E99D06AAAF4340DBF7CA1C60A91BC0BCDA149FFFA843403188320D0D971BC0A6258D57C9A84340C089636EB5891BC0F37B921FF8A94340EFCA77CAA37F1BC01854716278AD4340CEC4FE27E17E1BC0DEFD458244AF43404E7E402662841BC0C69B6B37DAB043400411AB29009E1BC0A0E99D06AAAF4340DBF7CA1C60A91BC0
2024,Commercial,High,Very Wealthy,Formal Residential,,0.7292152564,263,136,1.9338235294,0.0027726816,0.0053618769,244,334.6062741541,True,wealthy,wealthy,0103000020E61000000100000007000000481B458A03A44340BC7796E767361BC092BA50A0F2A34340955840065C361BC026BA3DFCCDA34340F740A1ABCC2F1BC0B24289C239A54340DF2F3C0215291BC05E87166448A5434050A5AA96FC281BC0070BA3DB8AA44340478B57C2C9331BC0481B458A03A44340BC7796E767361BC0
1946,Commercial,High,Wealthy,Education / Formal Residential,,0.4808991093,449,271,1.6568265683,0.0010710448,0.0017745355,412,856.7285570196,True,wealthy,wealthy,0103000020E61000000100000007000000576B976867A243402A19852169421BC02F016A4256A2434066BB89BF883B1BC0CA56BE677FA24340A9C0A883C43A1BC0F8FDE8C8D8A243404B3AAFB5253C1BC0AEA51AA269A3434096A3D6F8963E1BC0BE16498A3DA34340C4E138B1F5401BC0576B976867A243402A19852169421BC0
1872,Commercial,High,Wealthy,Formal Residential,,0.4369893463,316,244,1.2950819672,0.0013828777,0.0017909399,664,1519.4878447399,True,wealthy,wealthy,0103000020E610000001000000090000008497E64A1CA1434048347EE70B511BC049D23CA514A143401BF4176D02511BC0378FAB5184A043402576A0BE264C1BC0F03B73FC7DA04340D3AE315F374A1BC0E7A682658FA04340FA278B90BB491BC0672CB1DA06A1434016F5F9F2A8481BC082691F856DA1434090391146784C1BC079DB7DE039A14340AA903173AA501BC08497E64A1CA1434048347EE70B511BC0
1465,Unskilled manual labour,High,Average,Peri-Urban,Miles out from the City,4.8213932531,925,662,1.3972809668,0.005212317,0.0072830714,1328,275.4390547063,,average,average,0103000020E6100000010000000600000037A12C0E938F43401B1FD2106D831AC0FE05DF075A8E4340D80A084224741AC05A32371F26904340A52E789973681AC033008810D99043402BE27B7378691AC02E5E0C49C09143403AA46F2328781AC037A12C0E938F43401B1FD2106D831AC0
1831,Commercial,High,Very Wealthy,Formal Residential,,0.7662494105,116,66,1.7575757576,0.0066055984,0.0116098396,724,944.8620646378,True,wealthy,wealthy,0103000020E61000000100000005000000B04B85FCC39F434009015B6E650F1BC03C09B4B8829F4340162EE372FB0B1BC0F4F3C901C6A043407F37D47BE8001BC0A49F8B1570A043405ED28094F40E1BC0B04B85FCC39F434009015B6E650F1BC0
1614,Skilled manual labour,Medium,Average / Wealthy,Formal Residential,,2.2281829621,537,377,1.424403183,0.0041493165,0.0059102996,1077,483.3534850224,True,wealthy,wealthy,0103000020E61000000100000006000000A69AAEAFBF994340D5B24F11BBAA1AC0E2BF0C6DD0984340A0455324A79F1AC02424B72009994340456F46F5219A1AC009FCCF60569B43404F1E640E599C1AC032FDAA820D9A43400D81C61B33AA1AC0A69AAEAFBF994340D5B24F11BBAA1AC0
1972,Unskilled manual labour,High,Wealthy,Industrial / Formal Residential,,0.1070083638,80,50,1.6,0.0013376045,0.0021401673,143,1336.3441411031,True,wealthy,wealthy,0103000020E610000001000000070000003623B955F0A24340F8FDF6C30F501BC0B00016D0ECA243409B6D2B04B84E1BC0BAD0E7E0EDA2434065197292AA4E1BC013D9E77B49A343402448013DB84C1BC0D864B19F86A34340863838FC994D1BC061D385C674A34340A59D5DE2064F1BC03623B955F0A24340F8FDF6C30F501BC0
2034,Office services,High,Wealthy,Formal Residential,,0.027700675,85,38,2.2368421053,0.0003258903,0.0007289651,23,830.3046761789,True,wealthy,wealthy,0103000020E610000001000000050000000558946F84A44340F17725DD4D401BC0EDF9BB3472A44340430F2EE5D53D1BC0A6C462F1B8A443406C4663AF413F1BC0998CC492B9A44340C1AED7CD4E3F1BC00558946F84A44340F17725DD4D401BC0
1956,Commercial,High,Wealthy,Formal Residential,,0.0686508256,172,84,2.0476190476,0.0003991327,0.0008172717,185,2694.7964355951,True,wealthy,wealthy,0103000020E61000000100000006000000BAD0E7E0EDA2434065197292AA4E1BC01326EABCF0A243404316B290854C1BC09F86822C1EA34340E311EF131A4B1BC02038022148A34340F06BE7DC7D4B1BC013D9E77B49A343402448013DB84C1BC0BAD0E7E0EDA2434065197292AA4E1BC0
1753,Unskilled manual labour,High,Wealthy,Touristic / Formal Residential,,5.9834355652,56,41,1.3658536585,0.1068470637,0.1459374528,463,77.3802934704,True,wealthy,wealthy,0103000020E6100000010000000600000057B6D6AFA59D43403D3D9B6961F31AC0586172E3609D43408B2967BD57F01AC09F258AD69A9D43408B67AA2812E61AC051AA838385A14340BF08E23F1ED71AC0B9D6A915D3A04340D21D8D6ACEEE1AC057B6D6AFA59D43403D3D9B6961F31AC0
1968,Skilled manual labour,High,Very Wealthy,Formal Residential,,0.3673342764,21,8,2.625,0.0174921084,0.0459167845,219,596.1872171387,True,wealthy,wealthy,0103000020E610000001000000080000002CADA9AD49A343406F961B6090231BC02C22BEA5C7A243401BFFBF6566211BC0DC90B9EAC4A24340270CA692E9201BC01480E6A0E8A2434033F67B3FF91D1BC0CF8E4DE2B8A343401117EA0CB71E1BC0DBAF45ACBEA34340F0EB1BE8E41E1BC0936D0EDF96A34340EDE38F1856231BC02CADA9AD49A343406F961B6090231BC0
1728,Unskilled manual labour,High,Average,Formal Residential,,0.5423542099,1071,750,1.428,0.0005063998,0.0007231389,3634,6700.4181658009,True,average,average,0103000020E6100000010000000600000095962BE6E09C43402FD75500D5751BC03ECCDF1C809C43406A46D73280711BC0873C9A03E89C4340071CEF23426C1BC05CC2B4960F9D434056647CDF3C6C1BC0AB0ECEC1919D4340E42DF6D0A5741BC095962BE6E09C43402FD75500D5751BC0
1929,Commercial,High,Average,Formal Residential / Informal Residential,,0.4145002802,774,607,1.2751235585,0.0005355301,0.000682867,1128,2721.3491860196,True,average,average,0103000020E61000000100000008000000FA20F25C33A24340CE6D83B66F2B1BC03CA919A2F6A1434032D4A0A97E281BC05E620C5310A2434031AEC279E9261BC04547A1F2BEA2434045D9131462251BC0026CF3E702A34340A5A849C3E7271BC0C3702EC816A34340B1603594F2281BC08B1BD6661AA343407A7743FAD4291BC0FA20F25C33A24340CE6D83B66F2B1BC0
1752,Unskilled manual labour,High,Wealthy,Formal Residential,,0.4901843283,450,344,1.3081395349,0.0010892985,0.0014249544,1383,2821.3876294027,True,wealthy,wealthy,0103000020E61000000100000006000000FA6A185A2B9E4340C2D364618F191BC03F9CC01A629D4340917580E01D181BC0041726EE5E9D43401FEC591F26141BC07C74460CE79D4340A34B089368111BC0016999984F9E4340E99185B019151BC0FA6A185A2B9E4340C2D364618F191BC0
1965,Commercial,High,Very Wealthy,Commercial / Formal Residential,,0.0640611121,201,104,1.9326923077,0.000318712,0.0006159722,124,1935.6516927668,True,wealthy,wealthy,0103000020E61000000100000008000000F452922A47A34340003E511FAB491BC02893F4D821A3434071F554DB3E491BC026BE159512A34340F382B3D356481BC00CA5377214A3434051F465747F471BC0C32D6DDD29A34340A5B42101E3461BC0A9A64AF163A34340C8C4ADE458471BC09A259D1669A34340707B05ABBD481BC0F452922A47A34340003E511FAB491BC0
1924,Unskilled manual labour,High,Wealthy,Formal Residential,,1.0563326929,682,408,1.6715686275,0.0015488749,0.0025890507,1769,1674.6617915911,True,wealthy,wealthy,0103000020E61000000100000009000000EBE17BF51AA2434089B4190DA7111BC0BDF43F960AA243405E9CF86A47111BC0B0C30026E5A14340338EB69AC10E1BC07ABC5F52ABA1434020D45A48630A1BC00670FFFEBEA14340597004ED6A051BC09B8C9A1BD1A243408769B7FD29081BC0BE60889800A3434003D47754FA0C1BC068D87995BCA243407C71CD20E0101BC0EBE17BF51AA2434089B4190DA7111BC0
1843,Commercial,Medium,Average / Wealthy,Formal Residential,,0.3651389733,506,369,1.3712737127,0.0007216185,0.0009895365,1009,2763.3314262588,True,wealthy,wealthy,0103000020E61000000100000007000000AB8897B643A043401975F2DF702C1BC0903BD0B902A04340913A432D59261BC0AE1A79A74CA04340C688971C3F251BC046A8A7A7DEA04340C64D809765281BC0095593AFE0A043404FC20DF55B291BC083738229B1A04340569C24D9DC2B1BC0AB8897B643A043401975F2DF702C1BC0
2012,Skilled manual labour,High,Wealthy / Very Wealthy,Formal Residential,,0.1464845677,272,95,2.8631578947,0.0005385462,0.0015419428,151,1030.8253109024,True,wealthy,wealthy,0103000020E6100000010000000800000043D55762D3A3434074E2EBF74C471BC06E0F0638B2A3434016318636FC451BC0D4C77D70B4A343407AA779A063441BC0403A43E8CCA34340D2F21AAF73431BC04678F218FEA343402DEF5BCA70431BC07A52623746A44340DC9D459551451BC04F5016743AA44340D3BC4AA764461BC043D55762D3A3434074E2EBF74C471BC0
1689,Commercial,High,Wealthy,Informal Residential,,0.2990378703,521,409,1.2738386308,0.000573969,0.0007311439,465,1554.9869970911,True,wealthy,wealthy,0103000020E61000000100000006000000B0BDA5EEB49B43406CB9E5D7BD141BC040E14A55AB9B43403246C7DC34141BC0685705B0649C43406A2304AF440D1BC031721196929C43407E624D2025121BC0EA10C43C219C43405BF05156B7141BC0B0BDA5EEB49B43406CB9E5D7BD141BC0
