tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
2020,wealthy,4372719.37708998,-761453.037201761,4373142.18878346,-761100.360496429
2056,wealthy,4373373.37887234,-759681.489145765,4374632.18650923,-758661.280144524
2026,wealthy,4370672.19675869,-752571.239978305,4395984.9509287,-734888.535529708
2091,average,4376931.48109753,-771695.356523197,4383946.27530478,-767041.95507127
2024,wealthy,4372598.83777891,-759106.860584409,4373884.35793518,-757637.728850328
1946,wealthy,4371322.42132367,-760421.176602617,4372257.92150619,-759584.393443864
1872,wealthy,4369718.01388653,-762023.589623668,4370531.75867537,-761105.378008094
1465,average,4353941.56280945,-739515.450480372,4356897.9928243,-736563.389172006
1831,wealthy,4368864.41734856,-754836.20132925,4369962.68322389,-753250.176726757
1614,wealthy,4363040.61044839,-743817.201663779,4365235.04006679,-742000.56275511
1972,wealthy,4371833.88154289,-761915.753879091,4372356.40834598,-761549.860131248
2034,wealthy,4373156.72846725,-760190.54779811,4373399.17761074,-759920.27450973
1956,wealthy,4371837.50194532,-761762.988302654,4372148.70416061,-761372.731982486
1753,wealthy,4367010.1126824,-751769.335853796,4370613.27016175,-748675.644141857
1968,wealthy,4371698.34699951,-757044.063265135,4372546.81854728,-756432.052322861
1728,average,4366246.50447955,-766051.287694258,4367176.12910549,-765000.770892356
1929,average,4370997.55978868,-757905.919046032,4371988.75610525,-757243.219168203
1752,wealthy,4367003.46029871,-755948.877818304,4367821.05053225,-755056.491195315
1965,wealthy,4371962.19222846,-761215.792915669,4372256.07042649,-760911.236558457
1924,wealthy,4370741.7117015,-755083.208119184,4371901.08835915,-753743.835711133
1843,wealthy,4369299.27384142,-758015.894879562,4370053.31666041,-757228.265765311
2012,wealthy,4372504.50947715,-760956.554810145,4373007.28677548,-760533.936453494
1689,wealthy,4365523.64930038,-755421.375183666,4366309.2623842,-754603.252864366
2067,wealthy,4374116.24344866,-760176.058249522,4379822.33012645,-755512.947102665
1557,wealthy,4360700.68583775,-741490.728343357,4363696.08141545,-737071.267842282
1925,poor,4371025.30316815,-761540.750472815,4371579.60818496,-760797.979192733
1839,poor,4369145.7434733,-763652.697047514,4370124.40324054,-762522.325698442
1511,poor,4354808.48606953,-788203.10663849,4364200.87308774,-779165.615696166
1868,poor,4369129.15068255,-770144.639980699,4370794.70273071,-769042.22563104
1762,poor,4367248.66108837,-762157.351832696,4368102.21627765,-761222.796439208
1712,wealthy,4365316.74497413,-746522.772744826,4381812.38414297,-735395.11372641
1859,wealthy,4369670.78609114,-755006.518137765,4370808.54929845,-752846.816030003
1627,average,4363523.01303981,-745306.272645548,4364665.87629259,-743759.073582002
1732,average,4366272.84188658,-766926.816949339,4367461.74508002,-765921.61053642
2082,average,4375273.91844787,-765256.659882814,4377616.73284001,-762888.652981759
1420,poor,4346588.92280708,-780414.894988566,4355303.93085156,-774497.938048161
1476,poor,4354340.57890097,-763026.548794057,4357172.84148297,-759549.27323784
1462,poor,4350059.46583231,-767171.434353022,4356827.39610715,-762395.476199184
1727,poor,4366149.76225653,-751436.801465048,4367206.97907319,-750312.40242362
1692,poor,4365505.5745061,-763903.797801812,4366538.29438691,-762747.473458029
2064,wealthy,4373844.34125261,-760463.888920148,4374616.51127695,-760087.536542663
2021,wealthy,4372527.15234488,-757128.703558124,4379520.38717646,-755100.393921374
2019,wealthy,4372617.17871083,-761135.370258076,4373059.29939041,-760857.199366344
1473,average,4351780.70864755,-736674.899417092,4369319.17325271,-713460.234889712
1631,average,4364022.93544665,-764009.424693371,4364810.39455248,-762800.726369793
1612,average,4362885.21252046,-746304.594079133,4364912.20840666,-744871.339986841
1941,poor,4371160.59000017,-770670.778733407,4372337.71674632,-769624.30214602
1445,poor,4349021.62909013,-778009.34934235,4355610.20782453,-772197.195785178
2053,wealthy,4373495.87868115,-760368.542402016,4373860.96630882,-759999.558254012
1947,wealthy,4370048.06419971,-754044.480496295,4372397.60812112,-751771.725636117
1848,wealthy,4369426.35255199,-762442.589486376,4370229.83393814,-761487.635329041
1805,wealthy,4368427.60337467,-756586.884646104,4369151.89869434,-755573.964748474
1880,wealthy,4369983.30725043,-766338.539714296,4370718.63427302,-765516.653263242
1642,wealthy,4364327.41121145,-759560.952991938,4365033.17630557,-758914.301295044
2030,wealthy,4372749.88073015,-763135.949352217,4373484.82732675,-762109.124018795
1989,wealthy,4371739.76205234,-754796.460957696,4372701.2946165,-754001.131107124
1699,wealthy,4365924.19357274,-755641.789610081,4366391.18179026,-755137.121529657
2074,average,4374834.75541382,-776963.757537531,4376397.59238695,-772644.430651204
1810,poor,4368462.89106013,-761505.183315472,4369320.85286334,-760485.557610417
1811,poor,4367930.15985086,-776154.638860743,4369610.0493558,-773447.587730504
1751,poor,4366939.33125691,-764530.155972162,4367706.52295421,-763119.767237771
1797,poor,4367805.88485934,-765317.032042835,4369050.76036676,-764297.403807601
1846,poor,4369068.59318677,-772327.701184289,4370317.08789696,-771178.001648239
1838,poor,4369028.09364555,-766187.053932353,4369999.39355551,-765509.355820489
1782,poor,4367744.94602401,-768790.511005301,4368725.88606248,-767626.204814404
1489,average,4356455.66525788,-758997.682710776,4357635.58743051,-758116.70178626
1430,average,4351761.84947119,-758302.008440638,4353224.72452898,-756456.697467984
1955,wealthy,4371348.28355764,-760674.940088779,4372152.60735023,-760262.323013209
2017,wealthy,4372133.83046461,-765391.876415873,4373320.94912726,-764204.627814316
2023,wealthy,4372762.28437733,-760739.558704419,4373201.2046172,-760267.747963104
2044,wealthy,4373180.13038294,-760801.928972414,4373496.14334523,-760378.751175134
1698,wealthy,4365856.85183709,-756017.807273277,4366367.40363887,-755588.083698195
1513,wealthy,4358172.00991139,-759577.31051362,4359529.60842958,-758231.011838083
1402,poor,4341519.03651941,-752658.611146339,4352610.26725927,-745085.82557222
2066,wealthy,4374141.52474725,-760363.647379366,4374957.6350785,-759738.669937015
1553,wealthy,4360535.74168658,-742600.117906342,4362048.76275287,-741068.534038523
1882,wealthy,4370046.41714896,-757867.365410601,4370909.49195363,-757218.100476062
1771,poor,4367356.37396049,-758147.031335341,4368268.18792681,-757589.904096777
1432,average,4351266.82138874,-759960.636055161,4353463.18245576,-758217.785128787
2105,average,4381160.48692531,-785479.11689651,4392150.62901115,-770215.211381851
2033,wealthy,4373058.38741049,-761572.725070758,4374005.65642179,-760796.709346605
1622,average,4363726.92962036,-758585.5020738,4364600.66196852,-757907.030519828
1629,average,4363177.85277087,-751914.949248033,4364967.30113516,-750606.740847052
2049,poor,4372999.81160391,-764959.653111171,4375339.60811422,-763889.774073063
1479,poor,4353302.92103573,-774380.826181168,4356877.07111886,-771327.456376383
1509,poor,4357993.25650166,-767791.709829847,4359242.59010101,-766167.875824362
1862,wealthy,4369465.88056401,-764051.793460545,4370733.22583173,-762948.938153503
2073,wealthy,4374305.72280088,-762687.017090458,4376227.98586012,-760025.281125481
1635,wealthy,4364132.07794569,-758239.067098752,4364783.98802198,-757323.495131489
1565,wealthy,4361478.92418878,-743090.976281163,4363233.23793822,-741237.940545578
1981,wealthy,4370001.83966845,-752926.616802619,4372848.80396983,-748555.896455416
1617,wealthy,4363520.32024439,-762050.233218504,4364385.61634289,-761115.356147209
1798,wealthy,4368153.18295835,-755555.244554679,4369086.13538896,-754316.297422161
1500,average,4357614.86433677,-758940.328834611,4358785.7239522,-757623.720497342
1480,average,4353851.42562614,-742829.806181053,4357582.58628343,-738282.135574042
2013,average,4372650.95233998,-766322.578775364,4373591.28555398,-765375.764888505
