tower,income_adjusted,st_xmin,st_ymin,st_xmax,st_ymax
2020,wealthy,4372045.49754949,-762124.653813664,4373785.46754949,-760384.683813664
2056,wealthy,4373072.45627636,-760095.180102814,4374812.42627636,-758355.210102814
2026,wealthy,4381755.88420056,-745577.352279474,4383495.85420056,-743837.382279474
2091,average,4379616.26814985,-769981.068233178,4381356.23814985,-768241.098233178
2024,wealthy,4372264.60578815,-759286.747340836,4374004.57578815,-757546.777340836
1946,wealthy,4370832.37925262,-760896.649965065,4372572.34925263,-759156.679965065
1872,wealthy,4369266.22304667,-762395.85497292,4371006.19304667,-760655.88497292
1465,average,4354567.68052874,-738845.503292844,4356307.65052874,-737105.533292844
1831,wealthy,4368586.49691854,-755114.313163977,4370326.46691854,-753374.343163977
1614,wealthy,4363142.451496,-743619.430107233,4364882.421496,-741879.460107233
1972,wealthy,4371221.4080073,-762607.482398063,4372961.3780073,-760867.512398063
2034,wealthy,4372389.2704559,-760933.395154567,4374129.2404559,-759193.425154567
1956,wealthy,4371114.86880784,-762414.378906069,4372854.83880784,-760674.408906069
1753,wealthy,4367976.82706914,-751326.260827216,4369716.79706914,-749586.290827216
1968,wealthy,4371259.56048346,-757592.509720994,4372999.53048346,-755852.539720994
1728,average,4365819.97529493,-766452.240711987,4367559.94529493,-764712.270711987
1929,average,4370611.44648348,-758453.422912361,4372351.41648348,-756713.452912361
1752,wealthy,4366535.45974682,-756403.909857464,4368275.42974682,-754663.939857464
1965,wealthy,4371237.67486587,-761928.060232717,4372977.64486587,-760188.090232717
1924,wealthy,4370426.14780056,-755300.601459769,4372166.11780056,-753560.631459769
1843,wealthy,4368798.22263074,-758502.082340485,4370538.19263074,-756762.112340485
2012,wealthy,4371856.79597385,-761610.615711323,4373596.76597385,-759870.645711323
1689,wealthy,4365097.02987114,-755977.12766492,4366836.99987114,-754237.15766492
2067,wealthy,4375862.2148635,-758843.86614115,4377602.1848635,-757103.89614115
1557,wealthy,4361313.48321907,-740538.663658258,4363053.45321907,-738798.693658258
1925,poor,4370390.04279146,-762108.819845589,4372130.01279146,-760368.849845589
1839,poor,4368708.30648717,-763932.239540189,4370448.27648717,-762192.269540189
1511,poor,4358891.61473596,-784142.194109338,4360631.58473597,-782402.224109338
1868,poor,4369066.52469773,-770462.748965622,4370806.49469773,-768722.778965622
1762,poor,4366799.06902699,-762603.225684133,4368539.03902699,-760863.255684133
1712,wealthy,4371983.85410071,-742878.866286978,4373723.82410071,-741138.896286978
1859,wealthy,4369354.89841979,-754896.560567398,4371094.86841979,-753156.590567398
1627,average,4363282.85657452,-745361.466475489,4365022.82657452,-743621.496475489
1732,average,4365997.32885989,-767259.672643667,4367737.29885989,-765519.702643667
2082,average,4375857.74167509,-764944.069812876,4377597.71167509,-763204.099812876
1420,poor,4349966.94757079,-778443.757497286,4351706.91757079,-776703.787497286
1476,poor,4354832.27457817,-762241.086745872,4356572.24457817,-760501.116745872
1462,poor,4352878.44461429,-765796.776813596,4354618.41461429,-764056.806813596
1727,poor,4365875.99710245,-751830.030270786,4367615.96710245,-750090.060270787
1692,poor,4365165.4326152,-764158.689620086,4366905.4026152,-762418.719620086
2064,wealthy,4373326.84432529,-761179.842088623,4375066.81432529,-759439.872088623
2021,wealthy,4374677.64911974,-756893.381369035,4376417.61911974,-755153.411369035
2019,wealthy,4371970.80857959,-761880.17680046,4373710.77857959,-760140.20680046
1473,average,4357734.92728935,-724905.01603658,4359474.89728935,-723165.04603658
1631,average,4363504.96218855,-764303.492894173,4365244.93218855,-762563.522894173
1612,average,4363042.71546662,-746575.189770948,4364782.68546662,-744835.219770948
1941,poor,4370877.96139508,-770937.154079982,4372617.93139508,-769197.184079982
1445,poor,4352033.06941485,-775710.872235384,4353773.03941485,-773970.902235384
2053,wealthy,4372814.83523236,-761059.568408863,4374554.80523236,-759319.598408863
1947,wealthy,4370292.4881453,-753877.729828641,4372032.4581453,-752137.759828641
1848,wealthy,4368918.74441874,-762861.900286183,4370658.71441874,-761121.930286183
1805,wealthy,4367855.73159841,-756911.560008754,4369595.70159841,-755171.590008754
1880,wealthy,4369498.181352,-766773.397021914,4371238.151352,-765033.427021914
1642,wealthy,4363813.69347405,-760112.830775416,4365553.66347406,-758372.860775416
2030,wealthy,4372249.63312542,-763446.579014112,4373989.60312542,-761706.609014112
1989,wealthy,4371359.58016155,-755248.580410537,4373099.55016155,-753508.610410537
1699,wealthy,4365328.38715549,-756284.013970165,4367068.35715549,-754544.043970165
2074,average,4374602.58754489,-775323.103575623,4376342.55754489,-773583.133575623
1810,poor,4367982.90891053,-761877.268387745,4369722.87891053,-760137.298387745
1811,poor,4367989.93524474,-775431.065062175,4369729.90524474,-773691.095062175
1751,poor,4366510.41048174,-764708.092031184,4368250.38048174,-762968.122031184
1797,poor,4367539.45056741,-765717.865819841,4369279.42056741,-763977.895819841
1846,poor,4368774.34627692,-772533.183244743,4370514.31627692,-770793.213244743
1838,poor,4368675.77570033,-766715.909963633,4370415.74570034,-764975.939963633
1782,poor,4367386.17539038,-769120.117934861,4369126.14539038,-767380.147934861
1489,average,4356234.49380959,-759310.555741124,4357974.46380959,-757570.585741124
1430,average,4351564.00913587,-758334.501858767,4353303.97913587,-756594.531858767
1955,wealthy,4370937.08566964,-761348.525697439,4372677.05566964,-759608.555697439
2017,wealthy,4371839.00104353,-765729.659234192,4373578.97104353,-763989.689234192
2023,wealthy,4372144.42129697,-761373.209519171,4373884.39129697,-759633.239519171
2044,wealthy,4372472.64672991,-761436.261822776,4374212.61672992,-759696.291822776
1698,wealthy,4365238.24177316,-756631.348999876,4366978.21177316,-754891.378999876
1513,wealthy,4357927.18661889,-759804.498581331,4359667.15661889,-758064.528581331
1402,poor,4346588.30907701,-749466.561655621,4348328.27907701,-747726.591655621
2066,wealthy,4373613.00132867,-760949.582963576,4375352.97132867,-759209.612963576
1553,wealthy,4360324.56596206,-742716.643225061,4362064.53596206,-740976.673225061
1882,wealthy,4369570.2996319,-758438.647483827,4371310.2696319,-756698.677483827
1771,poor,4366978.03877662,-758729.733855646,4368718.00877662,-756989.763855646
1432,average,4351558.141883,-759984.945180619,4353298.111883,-758244.975180619
2105,average,4385922.45956438,-778593.33247981,4387662.42956438,-776853.36247981
2033,wealthy,4372638.72980046,-762054.965578982,4374378.69980046,-760314.995578982
1622,average,4363307.29320253,-759108.349545265,4365047.26320253,-757368.379545265
1629,average,4363217.87750258,-752150.111462722,4364957.84750258,-750410.141462722
2049,poor,4373308.98695244,-765293.721268762,4375048.95695244,-763553.751268762
1479,poor,4354451.23502418,-773470.726440815,4356191.20502418,-771730.756440815
1509,poor,4357756.90192834,-767889.009636216,4359496.87192834,-766149.039636216
1862,wealthy,4369229.08102124,-764428.932514355,4370969.05102124,-762688.962514355
2073,wealthy,4374394.95729287,-762381.669440865,4376134.92729287,-760641.699440865
1635,wealthy,4363577.41101873,-758649.374040369,4365317.38101873,-756909.404040369
1565,wealthy,4361552.81243847,-743032.022674392,4363292.78243847,-741292.052674392
1981,wealthy,4370359.00080181,-751983.178903852,4372098.97080181,-750243.208903852
1617,wealthy,4363115.32397995,-762504.658484624,4364855.29397995,-760764.688484624
1798,wealthy,4367739.93584396,-755768.153750435,4369479.90584396,-754028.183750435
1500,average,4357283.39105958,-759104.652122398,4359023.36105959,-757364.682122398
1480,average,4355016.84282887,-741474.265280205,4356756.81282888,-739734.295280205
2013,average,4372141.83156911,-766772.591073881,4373881.80156911,-765032.621073881
1951,average,4370989.27977652,-764346.083957198,4372729.24977652,-762606.113957198
1716,average,4365606.01746593,-758936.085904124,4367345.98746593,-757196.115904124
1746,poor,4366501.60056394,-766109.711324966,4368241.57056394,-764369.741324966
1818,poor,4368275.91580934,-758626.28173403,4370015.88580934,-756886.31173403
1879,poor,4369503.31640153,-765191.962497089,4371243.28640153,-763451.992497089
1825,poor,4368579.11153919,-768270.856084852,4370319.08153919,-766530.886084852
1530,poor,4358615.0806784,-778362.366359148,4360355.0506784,-776622.396359148
1522,poor,4358900.7633932,-773977.141244821,4360640.7333932,-772237.171244821
1809,poor,4367904.99978154,-759982.389587868,4369644.96978154,-758242.419587868
2104,wealthy,4389803.0679467,-757977.073983194,4391543.0379467,-756237.103983194
2010,wealthy,4371826.4504732,-761074.186695894,4373566.4204732,-759334.216695894
1481,average,4355679.30626671,-755457.779515741,4357419.27626671,-753717.809515741
1619,wealthy,4363340.8731921,-757292.558867251,4365080.84319211,-755552.588867251
1842,wealthy,4368764.06485798,-760353.304706956,4370504.03485798,-758613.334706956
1828,poor,4368669.47263765,-767418.192262338,4370409.44263765,-765678.222262338
1626,poor,4363444.81356674,-765901.51469613,4365184.78356674,-764161.54469613
1867,poor,4369269.96182855,-772864.205670399,4371009.93182855,-771124.235670399
1875,poor,4369381.35999083,-767794.224954986,4371121.32999083,-766054.254954986
1927,poor,4370646.67866542,-768477.673293383,4372386.64866542,-766737.703293383
1644,poor,4363830.86995508,-762985.282320935,4365570.83995508,-761245.312320935
1740,poor,4365925.1108847,-753620.941837477,4367665.0808847,-751880.971837477
1992,poor,4371630.174727,-768188.183895158,4373370.144727,-766448.213895158
1743,poor,4366263.01808397,-760726.28973591,4368002.98808397,-758986.31973591
1575,poor,4361536.79263156,-744827.200253235,4363276.76263156,-743087.230253235
1618,poor,4362857.67779199,-760416.919669591,4364597.64779199,-758676.949669591
1510,poor,4357395.89405179,-769224.576018521,4359135.8640518,-767484.606018521
2040,poor,4372759.49225093,-771706.813163013,4374499.46225093,-769966.843163013
1730,wealthy,4365843.70531486,-757121.043477179,4367583.67531487,-755381.07347718
1983,wealthy,4371479.78181264,-761189.710681809,4373219.75181264,-759449.740681809
1994,wealthy,4371689.88235013,-762830.964936,4373429.85235013,-761090.994936
1962,wealthy,4371105.28660604,-759924.384362593,4372845.25660604,-758184.414362593
1786,wealthy,4367297.23580582,-757177.948435864,4369037.20580582,-755437.978435864
1625,wealthy,4363271.4440377,-755675.312681118,4365011.4140377,-753935.342681118
2072,average,4374532.51498595,-772504.398568021,4376272.48498596,-770764.428568021
1696,average,4365341.94161609,-761824.721053233,4367081.91161609,-760084.751053233
1636,average,4363681.28158674,-753404.272230904,4365421.25158674,-751664.302230904
2086,average,4377484.99195627,-764605.406981954,4379224.96195627,-762865.436981954
1520,average,4358577.56561744,-752850.492839464,4360317.53561744,-751110.522839464
1391,average,4343932.60688888,-753014.158641565,4345672.57688888,-751274.188641566
1577,average,4361071.90345077,-752116.576060785,4362811.87345077,-750376.606060785
1407,poor,4347635.65274025,-770278.288289278,4349375.62274025,-768538.318289278
1928,poor,4370567.26849695,-774702.87923168,4372307.23849695,-772962.90923168
1717,average,4365625.10323061,-760994.666092155,4367365.07323061,-759254.696092155
1765,poor,4366716.83191215,-767513.910778374,4368456.80191215,-765773.940778374
